token_symbol,token_quote_symbol,token_name,price,txns,makers,volume,five_min,one_hour,six_hour,twenty_four_hour,liquidity,fdv,datetime
WTT,TT-USDC,Wrapped Thunder Token,$0.004135,"1,062",$10K,25,0%,0.25%,-0.92%,-10.28%,$26K,$522K,2023-07-12 16:35:03.611356
WBTC,USDT,Wrapped BTC,"$65,380.33","1,059",$76K,738,0%,0.20%,2.79%,2.71%,$150K,$4.7M,2023-07-12 16:35:03.612495
AXL,OSMO,Axelar,$0.3754,"1,059",$248K,255,-0.07%,0.06%,1.00%,2.86%,$1.5M,$403.7M,2023-07-12 16:35:03.613601
WCRO,USDC,Wrapped CRO,$0.05755,"1,054",$253K,523,0.07%,-0.04%,0.37%,2.17%,$6.8M,$52.9M,2023-07-12 16:35:03.614743
JUNO,OSMO,Juno,$0.2824,"1,050",$72K,392,0.04%,0.89%,0.17%,4.34%,$1.0M,$52.4M,2023-07-12 16:35:03.615882
CameraPrive,WBNB,Camera Prive,$0.0214772,"1,045",$105K,111,0%,0%,-100%,-100%,<$1,-,2023-07-12 16:35:03.616989
MMIT,WBNB,Mango Man Intelligent,$0.071144,"1,044",$245K,456,-0.03%,-1.59%,-4.99%,4.15%,$211K,$23.9M,2023-07-12 16:35:03.618094
VELO,USDC,Velodrome,$0.08312,"1,036",$139K,359,0.02%,-0.51%,2.72%,4.02%,$517K,$88.6M,2023-07-12 16:35:03.619196
BGLD,DEBT,BlackGold,$0.004430,"1,034",$22K,45,0.05%,1.30%,0.59%,0.57%,$189K,$2.030B,2023-07-12 16:35:03.620334
PEGPE,WETH,PEGGED PEPE,$0.089940,"1,032",$367K,354,0%,0%,-1.63%,103%,$5.7K,$4.1K,2023-07-12 16:35:03.621475
WBTC,WETH,Wrapped BTC,"$31,500.40","1,032",$2.0K,595,0%,0.34%,0.54%,-0.06%,$19K,$39K,2023-07-12 16:35:03.622610
ULX,BUSD,Ultron,$0.08873,"1,026",$422K,204,0.11%,0.05%,-0.99%,1.46%,$1.5M,$5.6M,2023-07-12 16:35:03.623750
zkUSD,USDT,zkUSD Dollar,$0.8343,"1,026",$221K,678,0%,-1.76%,9.14%,10.65%,$84K,$2.7M,2023-07-12 16:35:03.624893
Cake,WETH,PancakeSwap Token,$1.71,"1,025",$117,122,0%,6.73%,21.44%,3.44%,$1,$5.2M,2023-07-12 16:35:03.626045
USDT,USDC,Tether USD,$1.00,"1,024",$8.3K,328,0.03%,0.06%,0.09%,-0.15%,$443K,$2.1M,2023-07-12 16:35:03.627150
UNI,WETH,Uniswap,$0.007080,"1,023",$7,33,0%,0.41%,-0.51%,-0.09%,$441,$7.0M,2023-07-12 16:35:03.628290
ARBI,USDC,Arbipad,$0.0002228,"1,022",$31K,78,0%,9.94%,-27.69%,-29.47%,$72K,$2.2M,2023-07-12 16:35:03.629435
Babypepe2.0,WBNB,Babypepe 2.0,$0.0123483,"1,019",$147K,519,-10.89%,-9.73%,-9.73%,-9.73%,$87K,$133K,2023-07-12 16:35:03.630577
Candylad,WBNB,Candylad,$0.0162427,"1,019",$110K,637,0%,-6.44%,14.09%,92.72%,$57K,$985K,2023-07-12 16:35:03.631715
Cake,WBNB,PancakeSwap Token,$1.48,"1,018",$205K,704,0.02%,0.02%,-0.67%,-1.46%,$35.3M,$578.3M,2023-07-12 16:35:03.632856
WMATIC,USDC,Wrapped Matic,$0.7403,"1,015",$77K,781,0.04%,-0.15%,0.75%,0.08%,$175K,$103.0M,2023-07-12 16:35:03.633995
ARCSTAR,WBNB,Arcstar,$0.052884,"1,013",$136K,134,-0.27%,1.78%,4.57%,65.10%,$112K,$288K,2023-07-12 16:35:03.635136
Incorgnito,WBNB,Incorgnito,$0.091115,"1,008",$40K,307,0.31%,-12.38%,-27.08%,-17.19%,$12K,$43K,2023-07-12 16:35:03.636277
WPLS,USDT,Wrapped Pulse,$0.0001097,"1,008",$1.2M,454,-0.03%,0.41%,2.99%,4.75%,$15.9M,$854.6M,2023-07-12 16:35:03.637417
LOVELY,WBNB,Lovely Inu Finance,$0.062054,"1,004",$121K,434,0.05%,-0.18%,-3.25%,-0.55%,$180K,$10.2M,2023-07-12 16:35:03.638589
Oracle L2,WBNB,Oracle Layer2,$0.0153053,"1,004",$91K,118,0%,0%,0%,-100%,<$1,-,2023-07-12 16:35:03.639730
TURB2,WBNB,Turbo 2.0,$0.0152708,999,$219K,277,0%,0%,-100%,-100%,<$1,-,2023-07-12 16:35:03.640871
WBNB,USDT,Wrapped BNB,$246.66,999,$11K,918,0.04%,-0.19%,-0.70%,-0.15%,$115K,$565.0M,2023-07-12 16:35:03.642010
STG,WETH,StargateToken,$0.6410,999,$32K,827,-0.01%,-0.35%,-1.89%,-1.40%,$160K,$19.7M,2023-07-12 16:35:03.643149
GHST,USDC,Aavegotchi GHST Token (PoS),$0.9568,994,$374K,298,0.01%,0.16%,-0.67%,4.10%,$777K,$28.8M,2023-07-12 16:35:03.644259
BURN,WCORE,Burn,$0.0003096,992,$97K,380,-0.03%,-4.38%,-10.54%,-4.98%,$88K,$2.9M,2023-07-12 16:35:03.645364
vSOL,vUSD,vSOL,$22.55,991,$1.3M,21,0.12%,-0.08%,2.50%,2.68%,$422K,-,2023-07-12 16:35:05.005684
KumaMeMe,WBNB,KumaMeMe,$0.0141582,990,$211K,271,0%,0%,0%,-100%,$1,-,2023-07-12 16:35:05.007788
CBT2,WETH,COCKTORTURE2,$0.091418,989,$304,918,0%,0%,0%,4M%,$343,$59K,2023-07-12 16:35:05.009849
MEME,OSMO,MEME,$0.054709,987,$841,28,-0.06%,-4.97%,-3.48%,-3.79%,$3.0K,$23K,2023-07-12 16:35:05.011854
POPE,WETH,Pope,$0.0107924,983,$842K,388,0%,0.83%,-1.97%,66.29%,$50K,$33K,2023-07-12 16:35:05.013655
LION KING,WBNB,LION KING,$0.0112572,981,$51K,248,0%,7.90%,-13.02%,90.73%,$5.1K,$5.4K,2023-07-12 16:35:05.015450
Bonk,SOL,Bonk,$0.063431,980,$49K,184,-0.87%,-1.36%,-1.68%,-4.07%,$193K,$32.1M,2023-07-12 16:35:05.017242
ETX,USDC,Ethrix,$0.4016,970,$8.0K,19,-0.01%,-0.43%,1.76%,-17.75%,$16K,$40.1M,2023-07-12 16:35:05.019037
WBTC,OSMO,Wrapped Bitcoin,"$30,714.77",970,$283K,152,0.02%,0%,0.07%,0.62%,$7.5M,-,2023-07-12 16:35:05.020681
WETH,USDC,Wrapped Ether,"$1,893.02",969,$351K,735,0%,0.26%,0.57%,0.84%,$1.6M,$9.0M,2023-07-12 16:35:05.022318
WCFX,USDT,Wrapped Conflux,$0.1944,968,$193K,192,0%,-1.16%,-3.61%,7.98%,$898K,$9.2M,2023-07-12 16:35:05.023927
ETH,WBNB,Ethereum Token,"$1,898.34",963,$135K,770,0.23%,0.51%,0.56%,1.27%,$5.0M,$1.14B,2023-07-12 16:35:05.025564
WETH,USDC,Wrapped Ether,"$1,894.04",957,$744K,631,-0.02%,0.02%,0.26%,1.30%,$1.1M,$583.1M,2023-07-12 16:35:05.027198
Mfurie,WETH,MattFurie,$0.0104541,956,$515K,391,-5.00%,-72.66%,29.53%,29.53%,$26K,$19K,2023-07-12 16:35:05.028680
mSOL,USDC,Marinade staked SOL (mSOL),$25.26,953,$251K,84,0%,-0.38%,1.98%,2.33%,$484K,$142.5M,2023-07-12 16:35:05.030154
RDNT,WBNB,Radiant,$0.2847,952,$616K,441,0%,0.06%,0.24%,-0.52%,$19.3M,$18.9M,2023-07-12 16:35:05.031629
NEST,WETH,Nest,$0.00004688,951,$170K,296,0%,8.69%,-24.44%,"2,206%",$18K,$46K,2023-07-12 16:35:05.033108
WETH,USDC,Wrapped Ether,"$1,894.90",950,$59K,886,-0.02%,0.28%,0.51%,1.27%,$22K,$42.4M,2023-07-12 16:35:05.034582
ONE,WBNB,Harmony ONE,$0.01199,945,$45K,749,0%,-1.16%,1.02%,0.68%,$112K,$610K,2023-07-12 16:35:05.036033
WETH,USDT,Wrapped Ether,"$1,891.25",945,$1.1M,657,-0.30%,0.03%,-0.05%,1.09%,$1.7M,$582.3M,2023-07-12 16:35:05.037475
agEUR,USDC,agEUR,$1.10,945,$456K,666,0%,0.34%,0.63%,0.63%,$687K,$1.4M,2023-07-12 16:35:05.038799
USDC,USDT,USD Coin (PoS),$0.9999,943,$1.8M,653,0%,0%,0.01%,0.01%,$2.7M,$643.0M,2023-07-12 16:35:05.040149
FLT,USDT,FltToken,$0.002384,943,$12K,749,0.78%,2.21%,19.30%,14.44%,$27K,$266K,2023-07-12 16:35:05.041495
SHIB2.0,WBNB,Shiba Inu 2.0,$0.096066,939,$48K,130,1.16%,-0.34%,34.40%,1.07%,$27K,$143K,2023-07-12 16:35:05.042826
BLOX,DEBT,BloxRealEstate,$0.0004950,939,$23K,43,0.07%,-2.20%,4.12%,-4.06%,$77K,$1.95B,2023-07-12 16:35:05.044153
USDC,USDT,USD Coin,$1.00,939,$1.5M,736,0%,0%,0%,0%,$1.8M,$148.0M,2023-07-12 16:35:05.045481
PGEN,WMATIC,Polygen (PoS),$0.0001823,939,$8.6K,32,0%,0%,0.91%,0.34%,$21K,$170K,2023-07-12 16:35:05.046831
WBNB,USDT,Wrapped BNB,$246.60,938,$37K,682,0.02%,-0.18%,-0.70%,0.01%,$544K,$564.9M,2023-07-12 16:35:05.048179
WWAN,wanUSDT,Wrapped Wan,$0.2031,936,$22K,27,0%,0.76%,0.17%,-0.93%,$274K,$1.2M,2023-07-12 16:35:05.049460
POLI,WETH,Polinate (PoS),$0.0006351,934,$5.9K,34,0%,0%,-0.02%,1.78%,$17K,$24K,2023-07-12 16:35:05.050701
BTCB,WBNB,BTCB Token,"$30,760.82",932,$109K,557,0%,0.29%,0.26%,0.40%,$4.2M,$1.86B,2023-07-12 16:35:05.051945
WETH,USDT,Wrapped Ether,"$1,895.46",932,$401K,330,0.05%,0.09%,0.37%,1.36%,$753K,$409.7M,2023-07-12 16:35:05.053186
ETH,OSMO,Wrapped Ether,"$1,894.79",928,$225K,119,0.02%,0.10%,0.29%,1.33%,$8.2M,-,2023-07-12 16:35:05.054425
PEJEET,WETH,Pepe Jeet,$0.00009143,927,$321K,399,0%,-17.83%,21.46%,"4,569%",$27K,$91K,2023-07-12 16:35:05.055648
WLKN,SOL,Walken,$0.01971,927,$25K,420,0.97%,0.18%,-1.02%,-0.48%,$9.5K,$37.4M,2023-07-12 16:35:05.056872
STG,BUSD,StargateToken,$0.6395,924,$208K,498,-0.01%,-0.42%,-2.20%,-1.48%,$1.7M,$13.7M,2023-07-12 16:35:05.058094
ATLAS,USDC,Star Atlas,$0.001353,922,$61K,284,0%,-0.50%,-1.64%,-2.05%,$247K,$48.7M,2023-07-12 16:35:05.059293
BTC.b,WBNB,Bitcoin,"$30,692.23",914,$102K,695,-0.04%,-0.07%,0.03%,0.20%,$71K,$473K,2023-07-12 16:35:05.060481
FIL,WCORE,FIL,$0.009292,911,$7.0K,411,0.12%,-0.58%,-38.61%,-31.22%,$5.1K,$3.3K,2023-07-12 16:35:05.061668
WBNB,USDT,Wrapped BNB,$246.17,909,$2.0M,354,0%,-0.41%,-0.82%,-0.23%,$3.8M,$563.9M,2023-07-12 16:35:05.062837
BTC.b,WETH,Bitcoin,"$32,909.41",907,$84,115,0%,6.74%,-29.58%,56.61%,$2,$123K,2023-07-12 16:35:05.064024
DragonKing,WBNB,DragonKing,$0.064427,904,$175K,429,0.30%,-8.23%,-4.70%,-21.82%,$358K,$3.9M,2023-07-12 16:35:05.065196
vOP,vUSD,vOP,$1.25,900,$1.2M,27,0%,-0.28%,1.29%,3.23%,$457K,-,2023-07-12 16:35:05.066363
USDC,WETH,USD Coin,$1.00,897,$17K,48,0%,-0.02%,-0.15%,0.31%,$163K,$148.0M,2023-07-12 16:35:05.067518
Cake,USDC,PancakeSwap Token,$1.49,896,$29K,371,0%,-0.11%,-0.53%,-1.27%,$183K,$4.5M,2023-07-12 16:35:05.068652
ETH,WBNB,Ethereum Token,"$1,894.02",895,$201K,656,0.04%,-0.03%,0.31%,1.28%,$126K,$1.14B,2023-07-12 16:35:05.069803
WTT,TT-USDT,Wrapped Thunder Token,$0.004131,895,$8.3K,23,0%,0.07%,-1.01%,-10.58%,$12K,$522K,2023-07-12 16:35:05.070963
RISITA2.0,WBNB,Risitas 2.0,$0.00008131,894,$125K,396,-4.24%,-9.85%,-8.17%,-8.17%,$26K,$56K,2023-07-12 16:35:05.072114
CLIMB,USDT,CLIMB,$0.002623,894,$11K,320,0%,-0.75%,-13.23%,-29.47%,$114K,$502K,2023-07-12 16:35:05.073257
USDT,USDC,Tether USD,$1.00,893,$175K,687,0%,0%,-0.02%,0%,$1.1M,$3.2M,2023-07-12 16:35:05.074401
APT,USDC,Aptos Coin,$7.01,892,$3.5K,332,0%,-0.62%,-0.51%,0.77%,$8.6K,-,2023-07-12 16:35:05.075521
PSHARE,WPLS,PulseShare,"$4,253.08",887,$203K,181,0%,-0.77%,-2.17%,17.05%,$235K,$13.9M,2023-07-12 16:35:05.076692
HNT,USDH,Helium Network Token,$1.46,887,$4.1K,183,0%,-1.31%,1.07%,9.27%,$4.8K,$221.7M,2023-07-12 16:35:05.077872
POPO,WETH,POPO,$0.00004445,884,$183K,338,0%,-12.22%,-59.05%,50.31%,$4.9K,$4.4K,2023-07-12 16:35:05.079054
TT-ETH,TT-USDT,TT-ETH,"$1,892.97",883,$7.2K,17,0%,1.18%,0.62%,1.02%,$78K,$245K,2023-07-12 16:35:05.080248
WBNB,USDT,Wrapped BNB,$246.59,882,$291K,639,0%,-0.11%,-0.70%,-0.10%,$8.0M,$564.9M,2023-07-12 16:35:05.081416
LAND,USDT,LAND,$4.46,882,$63K,84,-0.01%,-1.05%,6.77%,-0.20%,$53K,$9.3M,2023-07-12 16:35:05.082627
gDEX,USDEX+,DexFi Governance,$52.79,880,$55K,31,0%,-2.55%,2.56%,5.02%,$181K,$6.3M,2023-07-12 16:35:05.083769
WagieBot,WETH,WagieBot,$0.09334,877,$708K,381,0%,-1.10%,-1.29%,-62.14%,$277K,$933K,2023-07-12 16:35:05.084940
IOT,HNT,Helium IOT,$0.0003669,876,$24K,706,-1.47%,-2.10%,-0.08%,9.04%,$95K,$6.3M,2023-07-12 16:35:05.086105
ALLBI,WBNB,ALLBESTICO.com,$0.0001102,874,$16K,191,6.12%,50.58%,86.33%,388%,$2.7K,$95K,2023-07-12 16:35:05.087271
WPLS,DAI,Wrapped Pulse,$0.0001091,868,$181K,299,-0.52%,-0.10%,3.46%,4.15%,$240K,$849.8M,2023-07-12 16:35:05.088429
MDX,USDT,MDX Token,$0.06626,868,$31K,84,-0.83%,-0.86%,-1.63%,2.93%,$694K,$47.8M,2023-07-12 16:35:05.089600
eShib,WETH,Ether Shiba Inu,$0.061115,865,$423K,358,0%,-2.15%,-31.51%,338%,$8.3K,$11K,2023-07-12 16:35:05.090743
iZi,WETH,izumi Token,$0.02438,863,$25K,704,0%,0.53%,0.52%,2.56%,$4.2K,$4.8M,2023-07-12 16:35:05.091882
SQUID2.0,WETH,Squid Game 2.0,$0.0004402,860,$2.2M,354,0.01%,-1.03%,-13.87%,13.72%,$753K,$20.0M,2023-07-12 16:35:05.093031
$TRUTH,WETH,TruthGPT,$0.0008875,860,$614K,319,0%,-2.83%,5.40%,295%,$116K,$686K,2023-07-12 16:35:05.094162
MONA2.0,WETH,MonaCoin 2.0,$0.00003237,857,$116K,260,0%,-20.90%,-88.76%,44.25%,$5.0K,$3.2K,2023-07-12 16:35:05.095287
RWT,USDT,RevaLink Wallet Token,$6.86,855,$102K,700,0%,-0.79%,-2.86%,3.01%,$26K,$43.92B,2023-07-12 16:35:05.096421
POFI,WETH,Poleis Finance,$0.005248,853,$352K,354,-6.46%,26.23%,-5.00%,"12,757%",$75K,$524K,2023-07-12 16:35:05.097549
BUSD,USDT,Binance USD,$0.5895,853,$423K,621,0%,-12.85%,12.63%,3.08%,$76K,$1.9M,2023-07-12 16:35:05.098772
NOVA,USDT,Nova Token ,$0.0152467,845,$2.5M,842,0%,0%,0.98%,-100%,<$1,-,2023-07-12 16:35:05.100041
PEPINU,WETH,Pepe Inu,$0.062788,843,$442K,422,14.90%,-1.73%,-31.53%,-61.84%,$56K,$263K,2023-07-12 16:35:05.101307
SOL,USDT,Wrapped SOL,$22.52,843,$65K,101,0%,-0.39%,2.05%,2.41%,$836K,-,2023-07-12 16:35:05.102512
ARB,WETH,Arbitrum,$1.14,843,$9.6K,419,0.04%,0.28%,-0.19%,-0.21%,$22K,$262K,2023-07-12 16:35:05.103728
$SAIPE,WETH,Saitama Pepe,$0.00003972,842,$158K,317,0%,0%,-2.38%,67.85%,$5.0K,$3.9K,2023-07-12 16:35:05.104967
GUAC,USDC,Guacamole,$0.085003,840,$29K,175,-0.06%,0.08%,-0.19%,-13.42%,$89K,$495K,2023-07-12 16:35:05.106176
ISC,SOL,International Stable Currency,$1.58,840,$6.1K,7,-0.08%,-0.28%,-0.02%,0.71%,$1.5K,$363K,2023-07-12 16:35:05.107368
MBOX,WBNB,Mobox,$0.2960,839,$601K,271,0.02%,-0.12%,0.09%,0.82%,$13.1M,$118.6M,2023-07-12 16:35:05.108605
OP,USDC,Optimism,$1.25,839,$732K,241,-0.03%,-0.02%,1.23%,3.28%,$1.5M,$5.37B,2023-07-12 16:35:05.109789
USDt,USDC,TetherToken,$1.00,839,$4.8M,667,0%,0%,0%,0%,$2.6M,$651.1M,2023-07-12 16:35:05.110981
4TOKEN,WCORE,Ignore Fud,$0.0001160,839,$11K,421,0%,0.04%,0.36%,-2.38%,$124K,$3.9M,2023-07-12 16:35:05.112170
PEPRO,WETH,PEPE PROTECTOR,$0.058602,835,$229K,294,0%,0%,-28.19%,120%,$11K,$8.6K,2023-07-12 16:35:05.113362
BLU,WBNB,BLU,$0.051472,835,$100K,41,0.02%,0.12%,-0.92%,0.37%,$224K,$1.4M,2023-07-12 16:35:05.114587
KIN,RAY,KIN,$0.057320,834,$6.7K,34,0%,1.24%,1.99%,4.26%,$23K,$73.1M,2023-07-12 16:35:05.115778
FIFA,USDT,Fortune of International Fitness Association,$10.22,833,$276K,522,0.10%,1.31%,-0.98%,-0.24%,$360K,$100.0M,2023-07-12 16:35:05.116967
ARKM,USDT,Arkham,$0.02963,833,$9.1M,468,-1.68%,10.57%,18.94%,"32,225%",$319K,$29.6M,2023-07-12 16:35:05.118197
SOL,USDC,Wrapped SOL,$22.52,831,$108K,82,0%,-0.44%,1.98%,2.36%,$829K,-,2023-07-12 16:35:05.119431
WCORE,USDC,Wrapped CORE,$0.9242,830,$1.6K,137,-0.05%,0.25%,0.24%,0.38%,$3.2K,$1.8M,2023-07-12 16:35:05.120633
AIDOGE2.0,WETH,AIDOGE 2.0,$0.081645,828,$382K,482,-0.23%,3.17%,-28.79%,-39.18%,$360K,$482K,2023-07-12 16:35:05.121835
X,WETH,AI-X,$0.092162,828,$904K,412,73.55%,130%,75.75%,59.32%,$285K,$2.1M,2023-07-12 16:35:05.123038
SAND,USDC,SAND,$0.4274,827,$5.0K,704,-0.05%,0.25%,0.50%,2.70%,$4.4K,$88.9M,2023-07-12 16:35:05.124239
Minidoge2.0,WBNB,Minidoge 2.0,$0.093827,826,$71K,415,0%,-9.25%,-4.32%,-8.20%,$84K,$80K,2023-07-12 16:35:05.125442
pXEN,WPLS,XEN Crypto,$0.072580,826,$22K,338,0.10%,1.56%,-5.76%,-14.11%,$7.2K,$88K,2023-07-12 16:35:05.126675
DEBT,USDT,DEBT,$12.47,824,$223K,434,0%,0.60%,0.87%,0.52%,$6.9M,$623.6M,2023-07-12 16:35:05.127896
THREADS,WETH,Threads,$0.0006600,821,$272K,365,0%,20.45%,26.83%,"1,504%",$31K,$65K,2023-07-12 16:35:05.129098
USDT,WETH,Tether USD,$1.00,820,$19K,719,0%,0.25%,-0.31%,0.09%,$84K,$5.8M,2023-07-12 16:35:05.130305
PRATE,WPLS,PulseRate,$0.0002796,818,$185K,167,0%,0.29%,-1.33%,15.76%,$229K,$618K,2023-07-12 16:35:05.131504
DFKGOLD,CRYSTAL,Gold,$0.00003596,818,$200,387,0.06%,0.83%,0.83%,-0.09%,$575,$51K,2023-07-12 16:35:05.132751
fUSDT,USDC,Frapped USDT,$0.3662,817,$239K,375,-0.69%,-9.46%,-30.96%,-27.15%,$102K,$30.4M,2023-07-12 16:35:05.133965
